sentiment,sentence,processed,vector
0,"@sweetbaboo1979 Have 2 -Angel is our old gal, nearly 11 and Sadie is her daughter. Angel's age catching up 2 her-cancer,joint failure  ","['angel', 'old', 'gal', ',', 'nearli', 'sadi', 'daughter', '.', ""angel'"", 'age', 'catch', 'her-canc', ',', 'joint', 'failur']",[0. 0. 0. ... 0. 0. 0.]
0,Hmm im usually dead rite now...ugh skool monday..no more oprah ellen or kathie lee and hoda     i wish u went to skool for a millisecond!!,"['hmm', 'im', 'usual', 'dead', 'rite', '...', 'ugh', 'skool', 'monday', '.', '.', 'oprah', 'ellen', 'kathi', 'lee', 'hoda', 'wish', 'u', 'went', 'skool', 'millisecond']",[0. 0. 0. ... 0. 0. 0.]
0,I have had a 102. Fever all night. ,"['.', 'fever', 'night', '.']",[0. 0. 0. ... 0. 0. 0.]
0,Who invented hayfever? ,"['invent', 'hayfev', '?']",[0. 0. 0. ... 0. 0. 0.]
0,Wishing the Cavs were in the NBA Finals...we just can't let it go ,"['wish', 'cav', 'nba', 'final', '...', ""can't"", 'let', 'go']",[0. 0. 0. ... 0. 0. 0.]
0,"@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. ","['sure', 'wish', 'could', 'go', 'guy', 'tmrw', '.', 'per', 'usual', ',', 'school', 'interfer', '.']",[0. 0. 0. ... 0. 0. 0.]
0,@AshleyLTMSYF hiya how r u? shame i missed u in Sydney. i was sick.i heard yall rocked!!! i missed the a/party 2 which i was invited to ,"['hiya', 'r', 'u', '?', 'shame', 'miss', 'u', 'sydney', '.', 'sick', '.', 'heard', 'yall', 'rock', 'miss', 'parti', 'invit']",[0. 0. 0. ... 0. 0. 0.]
0,#haveyouever wished microsoft never had to update xbox live? i'm so sad i can't play cod4 live. ,"['wish', 'microsoft', 'never', 'updat', 'xbox', 'live', '?', ""i'm"", 'sad', ""can't"", 'play', 'cod4', 'live', '.']",[0. 0. 0. ... 0. 0. 0.]
0,has lost his ring. It's no-where to be seen ,"['lost', 'ring', '.', 'no-wher', 'seen']",[0. 0. 0. ... 0. 0. 0.]
0,Trying to set up Xbox Live and failing tremendously...brain ache ,"['tri', 'set', 'xbox', 'live', 'fail', 'tremend', '...', 'brain', 'ach']",[0. 0. 0. ... 0. 0. 0.]
0,@TerrenceJ106. U should have told her and that voice box gone b bad 2 if ur ass keep on smokin them cancer sticks  lol,"['.', 'u', 'told', 'voic', 'box', 'gone', 'b', 'bad', 'ur', 'ass', 'keep', 'smokin', 'cancer', 'stick', 'lol']",[0. 0. 0. ... 0. 0. 0.]
0,awhh.   going home from Vegas. :'(      but im going back in June,"['awhh', '.', 'go', 'home', 'vega', '.', ':', ""'"", '(', 'im', 'go', 'back', 'june']",[0. 0. 0. ... 0. 0. 0.]
0,i really feel bad bout eating a cheeseburger and a donut for dinner  ugh! i so need to burn this off tomorrow! :| darn McDonalds!!!!,"['realli', 'feel', 'bad', 'bout', 'eat', 'cheeseburg', 'donut', 'dinner', 'ugh', 'need', 'burn', 'tomorrow', ':', 'darn', 'mcdonald']",[0. 0. 0. ... 0. 0. 0.]
0,oh my gooooooodness!!!! the cavs down 3-1!! ,"['oh', 'goooooood', 'cav', '1']",[0. 0. 0. ... 0. 0. 0.]
0,I would have bet a hundred bucks it would b Cleveland &amp; LA in the finals. Thought it was Lebrons year ,"['would', 'bet', 'hundr', 'buck', 'would', 'b', 'cleveland', 'amp', ';', 'la', 'final', '.', 'thought', 'lebron', 'year']",[0. 0. 0. ... 0. 0. 0.]
0,@Lowjacker twitter top trends pisses me off. Oprah and the other tv celebs totally ruined twitters vibe. ,"['twitter', 'top', 'trend', 'piss', '.', 'oprah', 'tv', 'celeb', 'total', 'ruin', 'twitter', 'vibe', '.']",[0. 0. 0. ... 0. 0. 0.]
0,"I haaattte hayfever. Piriton, claritin and antihistamines seem to not make any difference ","['haaattt', 'hayfev', '.', 'piriton', ',', 'claritin', 'antihistamin', 'seem', 'make', 'differ']",[0. 0. 0. ... 0. 0. 0.]
0,The people here in Argentina say Obama will be the next JFK....  it is very bad but is the sad truth....,"['peopl', 'argentina', 'say', 'obama', 'next', 'jfk', '...', '.', 'bad', 'sad', 'truth', '...', '.']",[0. 0. 0. ... 0. 0. 0.]
0,"Headache, bed, work in the morning, then busy all day tomorrow. ","['headach', ',', 'bed', ',', 'work', 'morn', ',', 'busi', 'day', 'tomorrow', '.']",[0. 0. 0. ... 0. 0. 0.]
0,@Egyptsaidso u were right about lastnites game  damn i still love Lebron!lol,"['u', 'right', 'lastnit', 'game', 'damn', 'still', 'love', 'lebron', 'lol']",[0. 0. 0. ... 0. 0. 0.]
0,England are rubbish. Wrong captain. Wrong selection. Only 2 batsmen. Jimmy Anderson was awful. Gutted. ,"['england', 'rubbish', '.', 'wrong', 'captain', '.', 'wrong', 'select', '.', 'batsmen', '.', 'jimmi', 'anderson', 'aw', '.', 'gut', '.']",[0. 0. 0. ... 0. 0. 0.]
0,stuck at home ,"['stuck', 'home']",[0. 0. 0. ... 0. 0. 0.]
0,@cateycancer ohhh??? That bad huh  u still got pink in your hair where you working??,"['ohhh', '?', '?', '?', 'bad', 'huh', 'u', 'still', 'got', 'pink', 'hair', 'work', '?', '?']",[0. 0. 0. ... 0. 0. 0.]
0,06:38 to London Liverpool Street. A bit of time to sort my photographs and to start reading Dot Robot. Didn't find time for a coffee ,"[':', '38', 'london', 'liverpool', 'street', '.', 'bit', 'time', 'sort', 'photograph', 'start', 'read', 'dot', 'robot', '.', 'find', 'time', 'coffe']",[0. 0. 0. ... 0. 0. 0.]
0,"Sadly, Obama is the later ","['sadli', ',', 'obama', 'later']",[0. 0. 0. ... 0. 0. 0.]
0,@britneyspears I should have gone to see you in london! ,"['gone', 'see', 'london']",[0. 0. 0. ... 0. 0. 0.]
0,@davidschwimmer cold!!!??? Here in London it's been awful. We get a humid sticky heat. Not great to work in ,"['cold', '?', '?', '?', 'london', 'aw', '.', 'get', 'humid', 'sticki', 'heat', '.', 'great', 'work']",[0. 0. 0. ... 0. 0. 0.]
0,@dan_jf It's very handy but unfortunately it appears to have borked my Facebook status column ,"['handi', 'unfortun', 'appear', 'bork', 'facebook', 'statu', 'column']",[0. 0. 0. ... 0. 0. 0.]
0,Work laptop is officially dead .. Not happy at all.. ,"['work', 'laptop', 'offici', 'dead', '.', '.', 'happi', '.', '.']",[0. 0. 0. ... 0. 0. 0.]
0,@Henkuyinepu it's overrated ,['overr'],[0. 0. 0. ... 0. 0. 0.]
0,@oprah Tyler Perry was a first time voter?........ Australia is wayyyy behind in Oprah eps. ,"['tyler', 'perri', 'first', 'time', 'voter', '?', '...', '...', '.', '.', 'australia', 'wayyyi', 'behind', 'oprah', 'ep', '.']",[0. 0. 0. ... 0. 0. 0.]
0,i guess it's over for the cavs..... ,"['guess', 'cav', '...', '.', '.']",[0. 0. 0. ... 0. 0. 0.]
0,wishing i was home underneath my covers ,"['wish', 'home', 'underneath', 'cover']",[0. 0. 0. ... 0. 0. 0.]
0,@Rocker182 Sweet. No better game to be able to play anywhere than that. Too bad I don't have my PSP on me today. ,"['sweet', '.', 'better', 'game', 'abl', 'play', 'anywher', '.', 'bad', 'psp', 'today', '.']",[0. 0. 0. ... 0. 0. 0.]
0,My carelessness led to wiping out all contacts on my iPhone ,"['careless', 'led', 'wipe', 'contact', 'iphon']",[0. 0. 0. ... 0. 0. 0.]
0,Urgh damn hayfever  my eyes are soooo itchy.  *rubs eye madly*,"['urgh', 'damn', 'hayfev', 'eye', 'soooo', 'itchi', '.', 'rub', 'eye', 'madli']",[0. 0. 0. ... 0. 0. 0.]
0,"Wrote exactly three lines of dialogue tonight, then gave up. ","['wrote', 'exactli', 'three', 'line', 'dialogu', 'tonight', ',', 'gave', '.']",[0. 0. 0. ... 0. 0. 0.]
0,"Maybe eating McDonalds, downing a sherbet fountain &amp; washed it down with warm coke..I feel a bit queasy. And quite a bit foamy ","['mayb', 'eat', 'mcdonald', ',', 'down', 'sherbet', 'fountain', 'amp', ';', 'wash', 'warm', 'coke', '.', '.', 'feel', 'bit', 'queasi', '.', 'quit', 'bit', 'foami']",[0. 0. 0. ... 0. 0. 0.]
0,Stressed.... Headache..... Stressed ,"['stress', '...', '.', 'headach', '...', '.', '.', 'stress']",[0. 0. 0. ... 0. 0. 0.]
0,It's no longer sunny in Seattle.  http://tr.im/sunnyinseattle,"['longer', 'sunni', 'seattl', '.']",[0. 0. 0. ... 0. 0. 0.]
0,I'm doing my homework. It's gosh darn hard!! ,"[""i'm"", 'homework', '.', 'gosh', 'darn', 'hard']",[0. 0. 0. ... 0. 0. 0.]
0,Wee man is away to Englandshire with Gran and Grandad. That'll be me lost for the rest of the week. ,"['wee', 'man', 'away', 'englandshir', 'gran', 'grandad', '.', 'lost', 'rest', 'week', '.']",[0. 0. 0. ... 0. 0. 0.]
1,@ mcdonalds with my litto sis aka cuzin lol cristyyyyy ,"['mcdonald', 'litto', 'si', 'aka', 'cuzin', 'lol', 'cristyyyyi']",[0. 0. 0. ... 0. 0. 0.]
1,@AnnaSaccone Love your new cards!   I would definitely hire you ;).,"['love', 'new', 'card', 'would', 'definit', 'hire', '.']",[0. 0. 0. ... 0. 0. 0.]
1,@supricky06 that was one of the most enjoyable experiences I've had on YouTube. Well done  http://bit.ly/1a7zPw,"['one', 'enjoy', 'experi', ""i'v"", 'youtub', '.', 'well', 'done']",[0. 0. 0. ... 0. 0. 0.]
1,Dallas vegas goodness  http://twitpic.com/3lzt1 On my way to to the SusCon ,"['dalla', 'vega', 'good', 'way', 'suscon']",[0. 0. 0. ... 0. 0. 0.]
1,@JBsFanArgentina Hey I luv this pic!!! was amazing of the last CHAT of The JB in FACEBOOK! ,"['hey', 'luv', 'pic', 'amaz', 'last', 'chat', 'jb', 'facebook']",[0. 0. 0. ... 0. 0. 0.]
1,@llmatticusll yuuuup! 9 miles  it's for cancer! for a good deed!,"['yuuuup', 'mile', 'cancer', 'good', 'deed']",[0. 0. 0. ... 0. 0. 0.]
1,"@seanmurphymusic I'am in love with Taylor Swift's &quot;Crazier&quot; and I think you should definitely do a cover of it, it'll be beautiful  &lt;3","[""i'am"", 'love', 'taylor', ""swift'"", 'quot', ';', 'crazier', 'quot', ';', 'think', 'definit', 'cover', ',', ""it'll"", 'beauti', 'lt', ';', '3']",[0. 0. 0. ... 0. 0. 0.]
1,"Had a piece of fried chicken, some PSP luv and now off to bed. ","['piec', 'fri', 'chicken', ',', 'psp', 'luv', 'bed', '.']",[0. 0. 0. ... 0. 0. 0.]
1,"@mileycyrus BRAZIL LOVES U SO MUCH!! YOU ARE AWESOME, MILEY! COME TO BRAZIL.. WE CAN'T FOR THIS DAY COME ","['brazil', 'love', 'u', 'much', 'awesom', ',', 'miley', 'come', 'brazil', '.', '.', ""can't"", 'day', 'come']",[0. 0. 0. ... 0. 0. 0.]
1,@SilMuri yeah that'd be awesome... You're gonna be the new Oprah! Freakin' yeah  *ninja-rolls over to Sil to eat chocolate*,"['yeah', ""that'd"", 'awesom', '...', 'gonna', 'new', 'oprah', 'freakin', ""'"", 'yeah', 'ninja-rol', 'sil', 'eat', 'chocol']",[0. 0. 0. ... 0. 0. 0.]
1,@DanniAsheOnline Awwww she called me sexy  nice! you rock Danni! you just made my night gurl! muah! I'll give you props anytime! ,"['awwww', 'call', 'sexi', 'nice', 'rock', 'danni', 'made', 'night', 'gurl', 'muah', ""i'll"", 'give', 'prop', 'anytim']",[0. 0. 0. ... 0. 0. 0.]
1,"@McChelsea get a glass of wine, a nice book, and just chillax out there.  oh wait, it's seattle, i'll probably rain. hah ","['get', 'glass', 'wine', ',', 'nice', 'book', ',', 'chillax', '.', 'oh', 'wait', ',', 'seattl', ',', ""i'll"", 'probabl', 'rain', '.', 'hah']",[0. 0. 0. ... 0. 0. 0.]
1,"Had to happen, @Oprah is on twitter, and only after 24 hours, she's got 260,371 followers and counting...  You go girlfriend!","['happen', ',', 'twitter', ',', 'hour', ',', 'got', 'follow', 'count', '...', 'go', 'girlfriend']",[0. 0. 0. ... 0. 0. 0.]
1,THE LAKERS ARE SO GOING TO WIN AND ADVANCE TO THE FINALS ,"['laker', 'go', 'win', 'advanc', 'final']",[0. 0. 0. ... 0. 0. 0.]
1,@lightinthesky wow. enjoy! ,"['wow', '.', 'enjoy']",[0. 0. 0. ... 0. 0. 0.]
1,i drew a cute baby zebra i think he is my favorite so far ,"['drew', 'cute', 'babi', 'zebra', 'think', 'favorit', 'far']",[0. 0. 0. ... 1. 0. 0.]
1,Went to Calgary with some of the lads (Gaspar had to sit in the boot  ) to watch the Flames versus LA Kings. Calgary won 4-1. Nice night.,"['went', 'calgari', 'lad', '(', 'gaspar', 'sit', 'boot', ')', 'watch', 'flame', 'versu', 'la', 'king', '.', 'calgari', '1', '.', 'nice', 'night', '.']",[0. 0. 0. ... 0. 0. 0.]
1,@batistini21 lols you go for the cavs. orlando owned them today ,"['lol', 'go', 'cav', '.', 'orlando', 'own', 'today']",[0. 0. 0. ... 0. 0. 0.]
1,@CCArquette ps. please try to see if you get Cougar Town to be broadcast internationally!!! im brazilian but such a great fan of yours! ,"['ps', '.', 'pleas', 'tri', 'see', 'get', 'cougar', 'town', 'broadcast', 'intern', 'im', 'brazilian', 'great', 'fan']",[0. 0. 0. ... 0. 0. 0.]
1,I L&lt;3VE Taylor Swift.She is just so amazing and her music is wonderfull and makes me so happy. ,"['l', 'lt', ';', '3ve', 'taylor', 'swift', '.', 'amaz', 'music', 'wonderful', 'make', 'happi', '.']",[0. 0. 0. ... 0. 0. 0.]
1,Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha,"['fine-tun', 'part', 'song', 'maddi', 'r', 'make', '.', 'sound', 'good', '.', 'feel', 'pro', '.', '.', 'hahaha']",[0. 0. 0. ... 0. 0. 0.]
1,Gran Turismo on PSP! FF13 to be on PC! What more can I ask for?! Gran Turismo 5 on PC perhaps? ,"['gran', 'turismo', 'psp', 'ff13', 'pc', 'ask', '?', 'gran', 'turismo', 'pc', 'perhap', '?']",[0. 0. 0. ... 0. 0. 0.]
1,@dornx give me time and ill come with you sa london! haha. good luck with that! ,"['give', 'time', 'ill', 'come', 'sa', 'london', 'haha', '.', 'good', 'luck']",[0. 0. 0. ... 0. 0. 0.]
1,hanging out with biology til 4am woo  !,"['hang', 'biolog', 'til', 'woo']",[0. 0. 0. ... 0. 0. 0.]
1,"Happy Morning, la toat? lumea!  ","['happi', 'morn', ',', 'la', 'toat', '?', 'lumea']",[0. 0. 0. ... 0. 0. 0.]
1,Watching Oprah that I had taped from earlier! It's was about Twitter today! ,"['watch', 'oprah', 'tape', 'earlier', 'twitter', 'today']",[0. 0. 0. ... 0. 0. 0.]
1,Chrisette Michelle just came on the ipod . she's so mellow ,"['chrisett', 'michel', 'came', 'ipod', '.', 'mellow']",[0. 0. 0. ... 0. 0. 0.]
1,Lakers! Going to the finals!! Weee! ,"['laker', 'go', 'final', 'weee']",[0. 0. 0. ... 0. 0. 0.]
1,"Getting my hair cut while texting with my brother and getting updates about Iran  &amp; the baseball game. God, I love my iPhone!","['get', 'hair', 'cut', 'text', 'brother', 'get', 'updat', 'iran', 'amp', ';', 'basebal', 'game', '.', 'god', ',', 'love', 'iphon']",[0. 0. 0. ... 0. 0. 0.]
1,@ILUVNKOTB he wants u to follow who he follows on twitter. some very nice organizations ,"['want', 'u', 'follow', 'follow', 'twitter', '.', 'nice', 'organ']",[0. 0. 0. ... 0. 0. 0.]
1,@dmf71 rrrrrr you so very sweet a big hi to you!!!!!!! ,"['rrrrrr', 'sweet', 'big', 'hi']",[0. 0. 0. ... 0. 0. 0.]
1,@scrambledeggos Seattle is very nice. So green it reminds me of Germany ,"['seattl', 'nice', '.', 'green', 'remind', 'germani']",[0. 0. 0. ... 0. 0. 0.]
1,great song  @Sharpatoulas: &quot;seattle's best&quot; ♫ http://blip.fm/~7mki1,"['great', 'song', ':', ""quoteattle'"", 'best', 'quot', ';']",[0. 0. 0. ... 0. 0. 0.]
1,@taylorswift13 Taylor Swift I think you're so pretty it makes my heart melt everytime I see your face. ,"['taylor', 'swift', 'think', 'pretti', 'make', 'heart', 'melt', 'everytim', 'see', 'face', '.']",[0. 0. 0. ... 0. 0. 0.]
1,starbucks &amp; tanning. good start for today ,"['starbuck', 'amp', ';', 'tan', '.', 'good', 'start', 'today']",[0. 0. 0. ... 0. 0. 0.]
1,"@Oprah We are so happy to have you back in the Tarheel State, even if you are in Blue Devil country ","['happi', 'back', 'tarheel', 'state', ',', 'even', 'blue', 'devil', 'countri']",[0. 0. 0. ... 0. 0. 0.]
1,Not long till LONDON BABY!!!  and then the EMIRATES ON SUNDAY!!!!  YEAH!! cant wait... ,"['long', 'till', 'london', 'babi', 'emir', 'sunday', 'yeah', 'cant', 'wait', '...']",[0. 0. 0. ... 0. 0. 0.]
1,"I got back from Brazil last week, and everyone there is good. Here we are in full force preparing for the arrival of our boy ","['got', 'back', 'brazil', 'last', 'week', ',', 'everyon', 'good', '.', 'full', 'forc', 'prepar', 'arriv', 'boy']",[0. 0. 0. ... 0. 0. 0.]
1,"@MissSydneyJ Im good, lol... I feel awake ","['im', 'good', ',', 'lol', '...', 'feel', 'awak']",[0. 0. 0. ... 0. 0. 0.]
1,The Lakers got it..  hahaah this is why i love LA,"['laker', 'got', '.', '.', 'hahaah', 'love', 'la']",[0. 0. 0. ... 0. 0. 0.]
1,pierce surprised me w/ 2 koi fish today! he's the best!!!  did i mention he's remodeling the whole apt?i'm so grateful for him in my life!,"['pierc', 'surpris', 'w', 'koi', 'fish', 'today', ""he'"", 'best', 'mention', ""he'"", 'remodel', 'whole', 'apt', '?', ""i'm"", 'grate', 'life']",[0. 0. 0. ... 0. 0. 0.]
1,Still up. Playin cards with the girls. ,"['still', '.', 'playin', 'card', 'girl', '.']",[0. 0. 0. ... 0. 0. 0.]
1,"I have a great fun day with my best friend!! Watch pride and prejudice, eat mcdonalds and taking funny videos ","['great', 'fun', 'day', 'best', 'friend', 'watch', 'pride', 'prejudic', ',', 'eat', 'mcdonald', 'take', 'funni', 'video']",[0. 0. 0. ... 0. 0. 0.]
1,@nicolerichie that was my favorite show/series when i was little! ,"['favorit', 'show', 'seri', 'littl']",[0. 0. 0. ... 0. 0. 0.]
1,"@beycah Good for you Becca, have a good sleep. ","['good', 'becca', ',', 'good', 'sleep', '.']",[0. 0. 0. ... 0. 0. 0.]
1,Yeah Lakers!!!!!! I am so stinkin' excited!!! Now the cavs need to shut the magic out for the best finals possible!! ,"['yeah', 'laker', 'stinkin', ""'"", 'excit', 'cav', 'need', 'shut', 'magic', 'best', 'final', 'possibl']",[0. 0. 0. ... 0. 0. 0.]
1,@seodubai Go #Lakers go!  Good morning!,"['go', 'go', 'good', 'morn']",[0. 0. 0. ... 0. 0. 0.]
1,"@nick_carter Don't forget my dear, you'll always be in my mind and my heart ok?  BIG kiss and special affection from me (Brazil)! I ? u!","['forget', 'dear', ',', 'alway', 'mind', 'heart', 'ok', '?', 'big', 'kiss', 'special', 'affect', '(', 'brazil', ')', '?', 'u']",[0. 0. 0. ... 0. 0. 0.]
1,"Wow Announcement of new Halo game from Bungie  HALO: Reach - this rumor was true too, scheduled for 2010 #xboxe3","['wow', 'announc', 'new', 'halo', 'game', 'bungi', 'halo', ':', 'reach', 'rumor', 'true', ',', 'schedul']",[0. 0. 0. ... 0. 0. 0.]
1,@hotglassblower Oprah would have touched your feminine side today and since you luv her som much I even DVR'd it ,"['oprah', 'would', 'touch', 'feminin', 'side', 'today', 'sinc', 'luv', 'som', 'much', 'even', ""dvr'd""]",[0. 0. 0. ... 0. 0. 0.]
1,im glad you had a good time  i wntd to do something nice for u and we did! what r u up to?,"['im', 'glad', 'good', 'time', 'wntd', 'someth', 'nice', 'u', 'r', 'u', '?']",[0. 0. 0. ... 0. 0. 0.]
1,Lakers up 13 at half ! Looking good !! ,"['laker', 'half', 'look', 'good']",[0. 0. 0. ... 0. 0. 0.]
1,"@alix_says, it's just like school except there's even more homework and everyone's a lot nicer (normally) ","[',', 'like', 'school', 'except', ""there'"", 'even', 'homework', ""everyone'"", 'lot', 'nicer', '(', 'normal', ')']",[0. 0. 0. ... 0. 0. 0.]
1,"#xboxe3 Gameplay looks awesome, just as always from Bungie! ","['gameplay', 'look', 'awesom', ',', 'alway', 'bungi']",[0. 0. 0. ... 0. 0. 0.]
0,"One more air crash  , Air France aircraft from Brazil to Paris was lost in mid Atlantic ","['one', 'air', 'crash', ',', 'air', 'franc', 'aircraft', 'brazil', 'pari', 'lost', 'mid', 'atlant']",[0. 0. 0. ... 0. 0. 0.]
0,Bye bye Vegas! Helloo long ass drive home ,"['bye', 'bye', 'vega', 'helloo', 'long', 'ass', 'drive', 'home']",[0. 0. 0. ... 0. 0. 0.]
