sentiment|sentence|sentiment_score|confidence_rating|explanation_score|explanation|processed|vector|results|fold
0|This place is not worth your time, let alone Vegas.|-0.7833333333333333|0.9|0.8333333333333334|The sentiment of the text is negative as the user emphasizes that the place is not worth their time, let alone a popular destination like Vegas, indicating a highly confident negative sentiment.|['place', 'worth', 'time', ',', 'let', 'alon', 'vega', '.']|"[ 0.          0.          0.         ... -0.78333333  0.9
  0.83333333]"|0.0032220708671957254|2.0
0|did not like at all.|-0.9333333333333332|0.9666666666666668|0.9333333333333332|"The phrase ""did not like at all"" is a strong negative statement, reflecting a clear and intense dislike for something, as indicated by its use of negative words and the sentiment score of -1."|['like', '.']|"[ 0.          0.          0.         ... -0.93333333  0.96666667
  0.93333333]"|0.010520996525883675|0.0
0|The Burrittos Blah!|-0.6|0.8333333333333334|0.5166666666666667|"The phrase ""The Burritos Blah!"" reflects a negative sentiment with a lack of enthusiasm, expressing disappointment and dissatisfaction towards the burritos."|['burritto', 'blah']|"[ 0.          0.          0.         ... -0.6         0.83333333
  0.51666667]"|0.016010357066988945|2.0
1|The food, amazing.|1.0|0.9|0.9333333333333332|"The phrase ""The food, amazing"" indicates a highly positive sentiment, with the use of the word ""amazing"" highlighting a strong level of satisfaction and delight in the food."|['food', ',', 'amaz', '.']|[0.         0.         0.         ... 1.         0.9        0.93333333]|0.9986359477043152|0.0
1|Service is also cute.|0.5666666666666667|0.8000000000000002|0.8666666666666667|"The overall sentiment of the text is positive, as the use of the word ""cute"" indicates a pleasant and charming experience with the service."|['servic', 'also', 'cute', '.']|[0.         0.         0.         ... 0.56666667 0.8        0.86666667]|0.5122864842414856|1.0
1|I could care less... The interior is just beautiful.|0.5|0.7666666666666666|0.8333333333333334|"The overall sentiment of the text is slightly positive, with an expression of admiration for the beautiful interior outweighing the potential negative connotation of the phrase ""I could care less""."|['could', 'care', 'less', '...', 'interior', 'beauti', '.']|[0.         0.         0.         ... 0.5        0.76666667 0.83333333]|0.5307993292808533|4.0
1|So they performed.|0.2333333333333333|0.5333333333333333|0.4333333333333333|"The consensus among the explanations is that the statement ""So they performed"" lacks enough context to determine a clear sentiment, making it a neutral statement."|['perform', '.']|[0.         0.         0.         ... 0.23333333 0.53333333 0.43333333]|0.222067192196846|0.0
1|That's right....the red velvet cake.....ohhh this stuff is so good.|0.8333333333333334|0.9|0.8000000000000002|"Overall, the explanations indicate that the text expresses a highly positive sentiment towards the red velvet cake, with the use of phrases such as ""so good"" and positive descriptors. However, the explanation could be improved by adding more specific details about why the cake is enjoyable."|"[""that'"", 'right', '...', '.', 'red', 'velvet', 'cake', '...', '.', '.', 'ohhh', 'stuff', 'good', '.']"|[0.         0.         0.         ... 0.83333333 0.9        0.8       ]|0.9748031497001648|0.0
0|- They never brought a salad we asked for.|-0.7666666666666666|0.85|0.8833333333333333|The user's negative sentiment stems from the restaurant's failure to fulfill their request for a salad, resulting in disappointment and frustration.|['never', 'brought', 'salad', 'ask', '.']|"[ 0.          0.          0.         ... -0.76666667  0.85
  0.88333333]"|0.006318447180092335|1.0
1|This hole in the wall has great Mexican street tacos, and friendly staff.|0.8333333333333334|0.8666666666666667|0.9666666666666668|The overall sentiment expressed in the explanations is positive, with mentions of great Mexican street tacos and friendly staff contributing to the positive sentiment rating.|['hole', 'wall', 'great', 'mexican', 'street', 'taco', ',', 'friendli', 'staff', '.']|[0.         0.         0.         ... 0.83333333 0.86666667 0.96666667]|0.9981606602668762|2.0
0|Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.|-0.7666666666666666|0.8333333333333334|0.8333333333333334|The overall sentiment is negative, supported by specific examples of long wait time, lukewarm food, and an overwhelmed server, although it could have provided more details.|['took', 'hour', 'get', 'food', 'tabl', 'restaur', 'food', 'luke', 'warm', ',', 'sever', 'run', 'around', 'like', 'total', 'overwhelm', '.']|"[ 0.          0.          0.         ... -0.76666667  0.83333333
  0.83333333]"|0.011239133775234222|3.0
0|The worst was the salmon sashimi.|-0.8666666666666667|0.8000000000000002|0.9|"The overall sentiment towards the salmon sashimi is negative, as indicated by the use of the phrase ""the worst"" and supported by additional negative descriptors."|['worst', 'salmon', 'sashimi', '.']|"[ 0.          0.          0.         ... -0.86666667  0.8
  0.9       ]"|0.004625125788152218|0.0
1|Also there are combos like a burger, fries, and beer for 23 which is a decent deal.|0.5333333333333333|0.7833333333333333|0.8666666666666667|The majority of the explanations indicate a positive sentiment towards the statement, with a focus on the satisfaction and favorable opinion about the price and value of the combo deal.|['also', 'combo', 'like', 'burger', ',', 'fri', ',', 'beer', 'decent', 'deal', '.']|[0.         0.         0.         ... 0.53333333 0.78333333 0.86666667]|0.416733056306839|1.0
0|This was like the final blow!|-0.8333333333333334|0.8833333333333333|0.8666666666666667|"The phrase ""final blow"" is used to express a strong negative sentiment, indicating a significant and impactful event that leads to feelings of defeat or devastation."|['like', 'final', 'blow']|"[ 0.          0.          0.         ... -0.83333333  0.88333333
  0.86666667]"|0.017266711220145226|4.0
1|I found this place by accident and I could not be happier.|0.8666666666666667|0.9|0.9|The overall sentiment of the explanations is highly positive, as the users express extreme happiness and satisfaction with finding the place by accident.|['found', 'place', 'accid', 'could', 'happier', '.']|[0.         0.         0.         ... 0.86666667 0.9        0.9       ]|0.9966850876808167|4.0
0|seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.|0.15|0.7833333333333333|0.7833333333333333|The sentiment of the explanations is slightly positive, with a mention of the place being a good option for quick pub food, but also suggesting looking elsewhere for better options. The confidence rating is high, and the explanations accurately capture the positive and negative aspects of the text.|['seem', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', ',', 'favor', 'look', 'elsewher', '.']|[0.         0.         0.         ... 0.15       0.78333333 0.78333333]|0.0615229494869709|2.0
1|Overall, I like this place a lot.|0.8666666666666667|0.9|0.8000000000000002|Overall, the explanations agree that the sentiment expressed in the statement is positive, with an emphasis on liking the place.|['overal', ',', 'like', 'place', 'lot', '.']|[0.         0.         0.         ... 0.86666667 0.9        0.8       ]|0.9916766881942749|1.0
1|The only redeeming quality of the restaurant was that it was very inexpensive.|0.5|0.8333333333333334|0.7666666666666666|The restaurant is perceived positively due to its low cost, as expressed confidently across multiple explanations.|['redeem', 'qualiti', 'restaur', 'inexpens', '.']|[0.         0.         0.         ... 0.5        0.83333333 0.76666667]|0.7627968192100525|4.0
1|Ample portions and good prices.|0.7666666666666666|0.8666666666666667|0.9|The general sentiment is positive, with customers expressing satisfaction and value for money based on ample portions and good prices.|['ampl', 'portion', 'good', 'price', '.']|[0.         0.         0.         ... 0.76666667 0.86666667 0.9       ]|0.9981606602668762|2.0
0|Poor service, the waiter made me feel like I was stupid every time he came to the table.|-0.7999999999999999|0.9|0.8333333333333334|The sentiment score is fairly negative (-0.7 to -0.8) due to dissatisfaction with poor service, feeling belittled by the waiter, and a strong emotional reaction to the situation. The explanations consistently highlight the specific details supporting this negative sentiment.|['poor', 'servic', ',', 'waiter', 'made', 'feel', 'like', 'stupid', 'everi', 'time', 'came', 'tabl', '.']|"[ 0.          0.          0.         ... -0.8         0.9
  0.83333333]"|0.014265946112573147|2.0
1|My first visit to Hiro was a delight!|0.8666666666666667|0.9|0.9666666666666668|"The explanations point to a positive sentiment in the text, with words like ""delight"" and ""first visit"" suggesting a great experience at Hiro. The use of an exclamation mark adds to the positive tone and enthusiasm expressed."|['first', 'visit', 'hiro', 'delight']|[0.         0.         0.         ... 0.86666667 0.9        0.96666667]|0.9967310428619385|0.0
0|Service sucks.|-0.8666666666666667|0.9|0.8666666666666667|"The phrase ""service sucks"" conveys a strong and unequivocal negative sentiment, expressing dissatisfaction with the quality of service."|['servic', 'suck', '.']|"[ 0.          0.          0.         ... -0.86666667  0.9
  0.86666667]"|0.0032444659154862165|4.0
1|The shrimp tender and moist.|0.9333333333333332|0.9333333333333332|0.9|"The majority of the explanations agree that the use of words like ""tender"" and ""moist"" to describe the shrimp indicates a positive sentiment towards its quality and taste."|['shrimp', 'tender', 'moist', '.']|[0.         0.         0.         ... 0.93333333 0.93333333 0.9       ]|0.9982091188430786|4.0
0|There is not a deal good enough that would drag me into that establishment again.|-0.8000000000000002|0.8666666666666667|0.8666666666666667|The user strongly dislikes the establishment and would not visit again, even if a good deal was available, as indicated by the negative language used and their unwillingness to be dragged back.|['deal', 'good', 'enough', 'would', 'drag', 'establish', '.']|"[ 0.          0.          0.         ... -0.8         0.86666667
  0.86666667]"|0.002784705488011241|2.0
0|Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.|-0.6999999999999998|0.8666666666666667|0.8333333333333334|The sentiment of the text is consistently negative as it expresses disgust and fear towards the food, particularly due to the presence of melted styrofoam and the potential health risks associated with it. The sentiment score of -0.7 reinforces this negative sentiment, and the high confidence rating of 0.9 indicates a strong belief in this assessment. Overall, the explanation is rated 0.8 for effectively explaining the negative sentiment caused by the melted styrofoam and fear of getting sick.|['hard', 'judg', 'whether', 'side', 'good', 'gross', 'melt', 'styrofoam', 'want', 'eat', 'fear', 'get', 'sick', '.']|"[ 0.          0.          0.         ... -0.7         0.86666667
  0.83333333]"|0.005699358880519867|4.0
1|On a positive note, our server was very attentive and provided great service.|0.9|0.9|0.9333333333333332|The server's attentiveness and great service received positive feedback, contributing to an overall positive sentiment towards the service experience.|['posit', 'note', ',', 'server', 'attent', 'provid', 'great', 'servic', '.']|[0.         0.         0.         ... 0.9        0.9        0.93333333]|0.9972928166389465|3.0
0|Frozen pucks of disgust, with some of the worst people behind the register.|-0.7833333333333333|0.8833333333333333|0.7833333333333332|The text expresses a strong negative sentiment towards the frozen pucks and the people behind the register, with a high level of confidence in this opinion.|['frozen', 'puck', 'disgust', ',', 'worst', 'peopl', 'behind', 'regist', '.']|"[ 0.          0.          0.         ... -0.78333333  0.88333333
  0.78333333]"|0.0020936133805662394|2.0
1|The only thing I did like was the prime rib and dessert section.|0.6333333333333333|0.8333333333333334|0.8666666666666667|The user's statement expresses a clear and unambiguous positive sentiment towards the prime rib and dessert section, while not indicating any strong negative or positive emotions towards anything else.|['thing', 'like', 'prime', 'rib', 'dessert', 'section', '.']|[0.         0.         0.         ... 0.63333333 0.83333333 0.86666667]|0.9881373047828674|1.0
0|It's too bad the food is so damn generic.|-0.6999999999999998|0.8666666666666667|0.8333333333333334|The user's sentiment is consistently negative, expressing dissatisfaction and disappointment with the food's quality and lack of originality.|['bad', 'food', 'damn', 'gener', '.']|"[ 0.          0.          0.         ... -0.7         0.86666667
  0.83333333]"|0.008035847917199135|2.0
1|The burger is good beef, cooked just right.|0.8333333333333334|0.8666666666666667|0.8666666666666667|The consensus among the explanations is that the text expresses a positive sentiment towards the burger, highlighting its good beef and satisfying cooking.|['burger', 'good', 'beef', ',', 'cook', 'right', '.']|[0.         0.         0.         ... 0.83333333 0.86666667 0.86666667]|0.995941162109375|2.0
1|If you want a sandwich just go to any Firehouse!!!!!|0.9333333333333332|0.9|0.7666666666666666|The explanations indicate that there is a strong positive sentiment and enthusiasm towards going to Firehouse for a sandwich, with the use of exclamation marks and capital letters emphasizing the excitement and recommendation.|['want', 'sandwich', 'go', 'firehous']|[0.         0.         0.         ... 0.93333333 0.9        0.76666667]|0.9993240833282471|1.0
1|My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.|0.9333333333333332|0.8333333333333334|0.9|"The overall sentiment of the text is positive, as it consistently describes the Greek salad as tasty and the pita and hummus as refreshing, using positive words like ""so"" and ""very""."|['side', 'greek', 'salad', 'greek', 'dress', 'tasti', ',', 'pita', 'hummu', 'refresh', '.']|[0.         0.         0.         ... 0.93333333 0.83333333 0.9       ]|0.9991477727890015|4.0
1|We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.|0.8250000000000001|0.9166666666666666|0.9333333333333332|Overall, the explanations highlight that the statement is positive, as it describes the duck being perfectly cooked with a flavorful char on the outside, while also mentioning the desired rareness and pleasant texture and flavor.|['order', 'duck', 'rare', 'pink', 'tender', 'insid', 'nice', 'char', 'outsid', '.']|[0.         0.         0.         ... 0.825      0.91666667 0.93333333]|0.9992490410804749|1.0
1|He came running after us when he realized my husband had left his sunglasses on the table.|0.7333333333333334|0.9|0.9|The text describes a positive situation where someone shows proactive and caring behavior by quickly returning the narrator's husband's forgotten sunglasses, demonstrating a caring and considerate attitude.|['came', 'run', 'us', 'realiz', 'husband', 'left', 'sunglass', 'tabl', '.']|[0.         0.         0.         ... 0.73333333 0.9        0.9       ]|0.9830342531204224|1.0
1|Their chow mein is so good!|1.0|0.8666666666666667|0.9333333333333332|"The explanations indicate that the statement ""Their chow mein is so good!"" receives a consistently positive sentiment due to the use of strong and enthusiastic language, emphasizing the speaker's high satisfaction and enjoyment."|['chow', 'mein', 'good']|[0.         0.         0.         ... 1.         0.86666667 0.93333333]|0.9989317059516907|2.0
0|They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.|-0.8333333333333334|0.8666666666666667|0.9|"The explanations highlight the negative sentiment expressed by the text towards the staff's attitudes and behavior towards customers, using words like ""horrible"" and ""talk down."""|['horribl', 'attitud', 'toward', 'custom', ',', 'talk', 'one', 'custom', 'enjoy', 'food', '.']|"[ 0.          0.          0.         ... -0.83333333  0.86666667
  0.9       ]"|0.003540347795933485|0.0
1|The portion was huge!|0.5666666666666667|0.8333333333333334|0.7666666666666666|"Overall, the explanations indicate that the sentiment is slightly positive due to the use of the word ""huge"" to describe the portion size, implying it was substantial and satisfying."|['portion', 'huge']|[0.         0.         0.         ... 0.56666667 0.83333333 0.76666667]|0.8121502995491028|2.0
1|Loved it...friendly servers, great food, wonderful and imaginative menu.|0.9666666666666668|0.9333333333333332|0.9666666666666668|"The explanations consistently express a positive sentiment towards the restaurant experience, highlighting words such as ""loved"", ""friendly"", ""great"", ""wonderful"", and ""imaginative"" to describe the servers, food, and menu."|['love', '...', 'friendli', 'server', ',', 'great', 'food', ',', 'wonder', 'imagin', 'menu', '.']|[0.         0.         0.         ... 0.96666667 0.93333333 0.96666667]|0.9979493021965027|3.0
0|The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.|-0.8666666666666667|0.9|0.8000000000000002|The overall sentiment towards The Heart Attack Grill is highly negative, with strong language and negative descriptors indicating a complete lack of satisfaction and a terrible dining experience.|['heart', 'attack', 'grill', 'downtown', 'vega', 'absolut', 'flat-lin', 'excus', 'restaur', '.']|"[ 0.          0.          0.         ... -0.86666667  0.9
  0.8       ]"|0.001980236964300275|4.0
0|Not much seafood and like 5 strings of pasta at the bottom.|-0.7000000000000001|0.8333333333333334|0.6666666666666666|The explanations indicate a mostly negative sentiment due to dissatisfaction with the lack of seafood and small portions of pasta.|['much', 'seafood', 'like', 'string', 'pasta', 'bottom', '.']|"[ 0.          0.          0.         ... -0.7         0.83333333
  0.66666667]"|0.05026018247008324|4.0
1|The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.|0.9333333333333332|0.8666666666666667|0.8000000000000002|The explanations all indicate a positive sentiment towards the dining experience, specifically praising the perfectly cooked scallop and the right amount of sauce that doesn't overpower it, as well as the well-balanced flavors of the salad.|['salad', 'right', 'amount', 'sauc', 'power', 'scallop', ',', 'perfectli', 'cook', '.']|[0.         0.         0.         ... 0.93333333 0.86666667 0.8       ]|0.9993135929107666|1.0
0|The ripped banana was not only ripped, but petrified and tasteless.|-0.8166666666666668|0.8666666666666667|0.8333333333333334|"The overall sentiment towards the banana is negative, as the user expressed dissatisfaction with its condition and taste, using words like ""ripped,"" ""petrified,"" and ""tasteless."""|['rip', 'banana', 'rip', ',', 'petrifi', 'tasteless', '.']|"[ 0.          0.          0.         ... -0.81666667  0.86666667
  0.83333333]"|0.0011862032115459442|1.0
0|At least think to refill my water before I struggle to wave you over for 10 minutes.|-0.7333333333333334|0.8666666666666667|0.85|The overall sentiment of the explanations is negative, with the user expressing frustration and annoyance towards someone who did not refill their water despite their attempts to get their attention.|['least', 'think', 'refil', 'water', 'struggl', 'wave', 'minut', '.']|"[ 0.          0.          0.         ... -0.73333333  0.86666667
  0.85      ]"|0.000644777319394052|3.0
1|This place receives stars for their APPETIZERS!!!|0.9333333333333332|0.8666666666666667|0.9333333333333332|"The overall sentiment is highly positive, as the explanations consistently highlight the satisfaction and high praise for the appetizers, indicated by the use of exclamation marks and the word ""stars""."|['place', 'receiv', 'star', 'appet']|[0.         0.         0.         ... 0.93333333 0.86666667 0.93333333]|0.9979878664016724|2.0
1|The cocktails are all handmade and delicious.|0.9333333333333332|0.8666666666666667|0.9333333333333332|The statement suggests a positive sentiment by highlighting the handmade and delicious qualities of the cocktails, although more context is needed to be extremely confident in this assessment.|['cocktail', 'handmad', 'delici', '.']|[0.         0.         0.         ... 0.93333333 0.86666667 0.93333333]|0.9991477727890015|4.0
1|We'd definitely go back here again.|0.8666666666666667|0.8333333333333334|0.8666666666666667|"The overall sentiment expressed in these explanations is strongly positive, with emphasis on the phrase ""definitely go back here again"" indicating a high level of satisfaction and eagerness to return."|"[""we'd"", 'definit', 'go', 'back', '.']"|[0.         0.         0.         ... 0.86666667 0.83333333 0.86666667]|0.9982012510299683|0.0
1|We are so glad we found this place.|0.9|0.9|0.9666666666666668|The overall sentiment of the explanations indicates that the author is very positive and pleased with finding the specific place.|['glad', 'found', 'place', '.']|[0.         0.         0.         ... 0.9        0.9        0.96666667]|0.9909002780914307|1.0
1|Great food and service, huge portions and they give a military discount.|0.9666666666666668|0.8666666666666667|0.9333333333333332|Overall, the explanations indicate a highly positive sentiment towards the text, highlighting great food, service, huge portions, and a military discount as contributing factors.|['great', 'food', 'servic', ',', 'huge', 'portion', 'give', 'militari', 'discount', '.']|[0.         0.         0.         ... 0.96666667 0.86666667 0.93333333]|0.9990836381912231|0.0
1|Always a great time at Dos Gringos!|1.0|0.9333333333333332|0.9333333333333332|"The majority of the explanations express a consistently positive sentiment, highlighting the use of words like ""great"" and ""always"" to describe the enjoyable experiences at Dos Gringos."|['alway', 'great', 'time', 'do', 'gringo']|[0.         0.         0.         ... 1.         0.93333333 0.93333333]|0.9992490410804749|1.0
1|Update.....went back for a second time and it was still just as amazing|0.8666666666666667|0.8333333333333334|0.8666666666666667|"The overall sentiment expressed in the explanations is consistently positive, with the word ""amazing"" being used to reinforce this positivity. The fact that the person went back for a second time further highlights their satisfaction and enjoyment."|['updat', '...', '.', '.', 'went', 'back', 'second', 'time', 'still', 'amaz']|[0.         0.         0.         ... 0.86666667 0.83333333 0.86666667]|0.9957655668258667|2.0
0|We got the food and apparently they have never heard of salt and the batter on the fish was chewy.|-0.8333333333333334|0.8666666666666667|0.8666666666666667|The overall sentiment of the explanations is that there is a strong negative sentiment towards the quality, taste, and texture of the food due to the lack of salt and chewy batter on the fish.|['got', 'food', 'appar', 'never', 'heard', 'salt', 'batter', 'fish', 'chewi', '.']|"[ 0.          0.          0.         ... -0.83333333  0.86666667
  0.86666667]"|0.0034902605693787336|4.0
1|A great way to finish a great.|1.0|0.8000000000000002|0.8666666666666667|"The statement expresses a positive sentiment due to the repetition of the word ""great"" to describe the experience, indicating a high level of satisfaction and enthusiasm."|['great', 'way', 'finish', 'great', '.']|[0.         0.         0.         ... 1.         0.8        0.86666667]|0.9992665648460388|1.0
1|The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.|0.9333333333333332|0.8333333333333334|0.8666666666666667|The overall sentiment expressed in the explanations is highly positive, with the user mentioning multiple tastings and drinks in a favorable deal, and emphasizing that Jeff exceeded their expectations.|['deal', 'includ', 'tast', 'drink', ',', 'jeff', 'went', 'beyond', 'expect', '.']|[0.         0.         0.         ... 0.93333333 0.83333333 0.86666667]|0.9985213875770569|4.0
1|- Really, really good rice, all the time.|1.0|0.9|0.8333333333333334|"The phrase ""really, really good rice"" is repeatedly mentioned, indicating a highly positive sentiment and consistent quality."|['realli', ',', 'realli', 'good', 'rice', ',', 'time', '.']|[0.         0.         0.         ... 1.         0.9        0.83333333]|0.9098165035247803|4.0
0|The service was meh.|-0.0666666666666666|0.8000000000000002|0.7666666666666666|"The sentiment analysis result is slightly positive, as the word ""meh"" generally implies a lukewarm or average sentiment, lacking strong positivity or negativity."|['servic', 'meh', '.']|"[ 0.          0.          0.         ... -0.06666667  0.8
  0.76666667]"|0.003623136319220066|3.0
0|It took over 30 min to get their milkshake, which was nothing more than chocolate milk.|-0.7999999999999999|0.8333333333333334|0.8666666666666667|The sentiment analysis reveals a clear negative sentiment, as the user expresses dissatisfaction with the long wait time and disappointment in the quality of the milkshake, which is well-supported and explained in detail.|['took', 'min', 'get', 'milkshak', ',', 'noth', 'chocol', 'milk', '.']|"[ 0.          0.          0.         ... -0.8         0.83333333
  0.86666667]"|0.004237007815390825|1.0
0|I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.|-0.8333333333333334|0.8666666666666667|0.8000000000000002|"The sentiment of the text is overwhelmingly negative, as evidenced by the use of words like ""suck"" and ""didn't use my common sense,"" indicating disappointment and regret. The sentiment score is -0.9 with a high confidence rating of 0.8, as the user's negative sentiment is well-justified by their expectation of a negative experience and regret for not using their common sense at the Excalibur."|['guess', 'known', 'place', 'would', 'suck', ',', 'insid', 'excalibur', ',', 'use', 'common', 'sens', '.']|"[ 0.          0.          0.         ... -0.83333333  0.86666667
  0.8       ]"|0.0010048963595181704|1.0
